ind,Site Number,Gridreference,Easting, Northing,updatedgridref,latitude,longitude
0,1071,SU13301460,413300,114600,SU1330014600,50.930700,-1.8121182
1,1098,SU71201760,471200,117600,SU7120017600,50.953443,-0.98772107
2,1139,SD78104300,378100,443000,SD7810043000,53.882724,-2.3346382
3,1203,TL030215,503000,221500,TL0300021500,51.882558,-0.50497046
4,1206,TL07802110,507800,221100,TL0780021100,51.878057,-0.43538591
5,1207,TL07302150,507300,221500,TL0730021500,51.881748,-0.44252232
6,1310,SU56209230,456200,192300,SU5620092300,51.626718,-1.1895112
7,1328,SP82100340,482100,203400,SP8210003400,51.723322,-0.81281735
8,1423,TQ36400280,536400,102800,TQ3640002800,50.808704,-0.065438293
9,1428,TQ30202540,530200,125400,TQ3020025400,51.013251,-0.14532870
10,1470,SU972128,497200,112800,SU9720012800,50.906499,-0.61894548
11,1474,TQ153339,515300,133900,TQ1530033900,51.092830,-0.35492890
12,1483,SU969119,496900,111900,SU9690011900,50.898459,-0.62344950
13,1492,SU911163,491100,116300,SU9110016300,50.938958,-0.70480490
14,1493,SU914163,491400,116300,SU9140016300,50.938910,-0.70053637
15,1504,TQ50806040,550800,160400,TQ5080060400,51.322720,0.16278893
16,1520,TQ90705650,590700,156500,TQ9070056500,51.275727,0.73269708
17,1521,TQ91605860,591600,158600,TQ9160058600,51.294286,0.74671015
18,1522,TQ91805670,591800,156700,TQ9180056700,51.277154,0.74855572
19,1523,TQ89705530,589700,155300,TQ8970055300,51.265282,0.71774109
20,1587,TQ778663,577800,166300,TQ7780066300,51.367927,0.55283721
21,1593,TR004352,600400,135200,TR0040035200,51.081112,0.85971711
22,1596,TQ680573,568000,157300,TQ6800057300,51.290054,0.40795042
23,1718,SX85608160,285600,81600,SX8560081600,50.622848,-3.6186154
24,1745,SX753698,275300,69800,SX7530069800,50.514669,-3.7601964
25,1784,SX915568,291500,56800,SX9150056800,50.401031,-3.5280246
26,1801,SX11706760,211700,67600,SX1170067600,50.477896,-4.6552847
27,1802,SX09507750,209500,77500,SX0950077500,50.566117,-4.6913129
28,1813,SW51803780,151800,37800,SW5180037800,50.188092,-5.4784483
29,1832,SW364224,136400,22400,SW3640022400,50.043223,-5.6830975
30,1840,SW710180,171000,18000,SW7100018000,50.018035,-5.1980625
31,1855,SW637433,163700,43300,SW6370043300,50.242342,-5.3154655
32,1920,TL35304040,535300,240400,TL3530040400,52.045489,-0.028524509
33,1925,TL34804010,534800,240100,TL3480040100,52.042915,-0.035928849
34,1926,TL34903980,534900,239800,TL3490039800,52.040195,-0.034589964
35,1927,TL33303960,533300,239600,TL3330039600,52.038785,-0.057981045
36,1928,TL33303950,533300,239500,TL3330039500,52.037886,-0.058019991
37,2003,TQ18505100,518500,151000,TQ1850051000,51.245874,-0.30362504
38,2004,TQ180510,518000,151000,TQ1800051000,51.245977,-0.31078523
39,2006,TQ17705200,517700,152000,TQ1770052000,51.255027,-0.31475282
40,2025,TQ37505420,537500,154200,TQ3750054200,51.270371,-0.030342382
41,2026,TQ38505420,538500,154200,TQ3850054200,51.270129,-0.016016721
42,2082,TQ209636,520900,163600,TQ2090063600,51.358615,-0.26499193
43,2083,TQ233630,523300,163000,TQ2330063000,51.352707,-0.23074778
44,2084,TQ422560,542200,156000,TQ4220056000,51.285394,0.037702126
45,2085,TQ153539,515300,153900,TQ1530053900,51.272594,-0.34851718
46,2086,TQ151538,515100,153800,TQ1510053800,51.271736,-0.35141515
47,2087,TQ230613,523000,161300,TQ2300061300,51.337494,-0.23564057
48,2089,TQ315584,531500,158400,TQ3150058400,51.309531,-0.11475515
49,2090,SU869488,486900,148800,SU8690048800,51.231780,-0.75675849
50,2091,TQ004718,500400,171800,TQ0040071800,51.436312,-0.55699028
51,2093,TQ422560,542200,156000,TQ4220056000,51.285394,0.037702126
52,2094,SU924423,492400,142300,SU9240042300,51.172485,-0.67967803
53,2099,SU826424,482600,142400,SU8260042400,51.174882,-0.81980188
54,2209,SY95608240,395600,82400,SY9560082400,50.641272,-2.0635865
55,2243,SY69507350,369500,73500,SY6950073500,50.560451,-2.4319526
56,2253,SZ020811,402000,81100,SZ0200081100,50.629596,-1.9730843
57,2259,SY97208730,397200,87300,SY9720087300,50.685347,-2.0409979
58,2260,SY96208690,396200,86900,SY9620086900,50.681744,-2.0551489
59,2262,SY630990,363000,99000,SY6300099000,50.789380,-2.5262739
60,2263,ST99402390,399400,123900,ST9940023900,51.014478,-2.0099278
61,2265,ST89402040,389400,120400,ST8940020400,50.982906,-2.1523763
62,2367,SO88406260,388400,262600,SO8840062600,52.261440,-2.1713790
63,2369,SP04308320,404300,283200,SP0430083200,52.446746,-1.9381614
64,2412,ST99805990,399800,159900,ST9980059900,51.338189,-2.0042573
65,2413,ST82805970,382800,159700,ST8280059700,51.336127,-2.2482877
66,2415,SU22502570,422500,125700,SU2250025700,51.030229,-1.6805241
67,2416,ST79106090,379100,160900,ST7910060900,51.346792,-2.3014704
68,2419,ST95106610,395100,166100,ST9510066100,51.393915,-2.0718150
69,2451,ST828601,382800,160100,ST8280060100,51.339724,-2.2483072
70,2463,SU224394,422400,139400,SU2240039400,51.153422,-1.6811047
71,2464,ST820605,382000,160500,ST8200060500,51.343296,-2.2598121
72,2466,SU123445,412300,144500,SU1230044500,51.199585,-1.8253404
73,2562,ST34806650,334800,166500,ST3480066500,51.393774,-2.9385019
74,2565,ST48501600,348500,116000,ST4850016000,50.941129,-2.7343637
75,2585,ST658506,365800,150600,ST6580050600,51.253533,-2.4914363
76,2594,ST563746,356300,174600,ST5630074600,51.468669,-2.6305114
77,2596,ST357100,335700,110000,ST3570010000,50.885894,-2.9154623
78,2635,NG91402500,191400,825000,NG9140025000,57.267903,-5.4611699
79,2679,NS805985,280500,698500,NS8050098500,56.164136,-3.9258828
80,2734,SJ666749,366600,374900,SJ6660074900,53.270030,-2.5022645
81,2818,SK230510,423000,351000,SK2300051000,53.055763,-1.6582994
82,2819,SK430450,443000,345000,SK4300045000,53.000602,-1.3607198
83,2820,SK355388,435500,338800,SK3550038800,52.945419,-1.4731470
84,2821,SK348433,434800,343300,SK3480043300,52.985914,-1.4830817
85,2822,SP619996,461900,299600,SP6190099600,52.590685,-1.0877065
86,2827,SK448436,444800,343600,SK4480043600,52.987871,-1.3340940
87,2828,SK398668,439800,366800,SK3980066800,53.196798,-1.4057060
88,2831,SK704535,470400,353500,SK7040053500,53.074102,-0.95064845
89,2832,SK398515,439800,351500,SK3980051500,53.059274,-1.4075993
90,2833,SK402511,440200,351100,SK4020051100,53.055649,-1.4016811
91,2834,SK506332,450600,333200,SK5060033200,52.893875,-1.2493222
92,2844,SK025821,402500,382100,SK0250082100,53.335802,-1.9639194
93,2860,SK343493,434300,349300,SK3430049300,53.039879,-1.4898939
94,2861,SK339372,433900,337200,SK3390037200,52.931140,-1.4971233
95,2871,SK495324,449500,332400,SK4950032400,52.886787,-1.2657927
96,2872,SK095758,409500,375800,SK0950075800,53.279095,-1.8589859
97,2879,SK329156,432900,315600,SK3290015600,52.737037,-1.5141696
98,2883,SK222561,422200,356100,SK2220056100,53.101640,-1.6698847
99,2884,SK168701,416800,370100,SK1680070100,53.227680,-1.7498054
100,2885,SK285554,428500,355400,SK2850055400,53.095050,-1.5758553
101,2892,SK052721,405200,372100,SK0520072100,53.245895,-1.9235332
102,2971,NZ041294,404100,529400,NZ0410029400,54.659673,-1.9379626
103,2986,NZ463218,446300,521800,NZ4630021800,54.589280,-1.2850369
104,3012,SS880840,288000,184000,SS8800084000,51.543747,-3.6164780
105,3039,SO12202630,312200,226300,SO1220026300,51.928265,-3.2782966
106,3046,SR98209450,198200,194500,SR9820094500,51.613065,-4.9160624
107,3059,SH605447,260500,344700,SH6050044700,52.981434,-4.0792861
108,3060,SH601447,260100,344700,SH6010044700,52.981329,-4.0852397
109,3116,TM13105430,613100,254300,TM1310054300,52.145857,1.1131280
110,3135,TL861636,586100,263600,TL8610063600,52.239124,0.72413205
111,3211,TL41505500,541500,255000,TL4150055000,52.175119,0.067880468
112,3215,TL61206200,561200,262000,TL6120062000,52.232600,0.35905441
113,3217,TM06501850,606500,218500,TM0650018500,51.826938,0.99527561
114,3218,TQ720875,572000,187500,TQ7200087500,51.560154,0.47990701
115,3221,TL32509250,532500,292500,TL3250092500,52.514289,-0.048871244
116,3223,TL51305940,551300,259400,TL5130059400,52.212050,0.21304661
117,3225,TL570644,557000,264400,TL5700064400,52.255372,0.29872182
118,3228,TQ66408740,566400,187400,TQ6640087400,51.560934,0.39915065
119,3236,TL490440,549000,244000,TL4900044000,52.074322,0.17266422
120,3252,TL942060,594200,206000,TL9420006000,51.719093,0.81003560
121,3302,TG18900750,618900,307500,TG1890007500,52.621111,1.2324758
122,3331,TF654216,565400,321600,TF6540021600,52.766671,0.45008892
123,3367,TG226103,622600,310300,TG2260010300,52.644738,1.2889261
124,3405,SD80906950,380900,469500,SD8090069500,54.121005,-2.2937173
125,3410,SD97506450,397500,464500,SD9750064500,54.076419,-2.0397008
126,3440,SD970685,397000,468500,SD9700068500,54.112367,-2.0473836
127,3480,SE719425,471900,442500,SE7190042500,53.873731,-0.90792316
128,3491,SE543657,454300,465700,SE5430065700,54.084360,-1.1714486
129,3574,H867828,100010,542267,NW0001042267,54.685808,-6.6564407
130,3604,ST76409410,376400,194100,ST7640094100,51.645198,-2.3424679
131,3628,SO463924,346300,292400,SO4630092400,52.526812,-2.7929614
