SPECIES CODE,SPECIES,COMMON NAME,YEAR,NO. SITES,COLLATED INDEX,YEAR RANK,TIME PERIOD,COUNTRY
84,"Aglais io","Peacock",1976,31,1.77,41,"1976-2020","England"
84,"Aglais io","Peacock",1977,47,1.65,45,"1976-2020","England"
84,"Aglais io","Peacock",1978,50,1.97,24,"1976-2020","England"
84,"Aglais io","Peacock",1979,59,2.03,20,"1976-2020","England"
84,"Aglais io","Peacock",1980,68,1.88,36,"1976-2020","England"
84,"Aglais io","Peacock",1981,70,1.79,40,"1976-2020","England"
84,"Aglais io","Peacock",1982,76,2.22,3,"1976-2020","England"
84,"Aglais io","Peacock",1983,86,1.98,23,"1976-2020","England"
84,"Aglais io","Peacock",1984,97,2.13,11,"1976-2020","England"
84,"Aglais io","Peacock",1985,106,2.14,10,"1976-2020","England"
84,"Aglais io","Peacock",1986,115,1.86,37,"1976-2020","England"
84,"Aglais io","Peacock",1987,136,1.93,31,"1976-2020","England"
84,"Aglais io","Peacock",1988,158,1.96,26,"1976-2020","England"
84,"Aglais io","Peacock",1989,189,1.96,26,"1976-2020","England"
84,"Aglais io","Peacock",1990,217,1.97,24,"1976-2020","England"
84,"Aglais io","Peacock",1991,243,2.08,16,"1976-2020","England"
84,"Aglais io","Peacock",1992,265,2.36,1,"1976-2020","England"
84,"Aglais io","Peacock",1993,293,2.1,13,"1976-2020","England"
84,"Aglais io","Peacock",1994,316,1.94,30,"1976-2020","England"
84,"Aglais io","Peacock",1995,376,2.02,22,"1976-2020","England"
84,"Aglais io","Peacock",1996,410,2.28,2,"1976-2020","England"
84,"Aglais io","Peacock",1997,443,2.22,3,"1976-2020","England"
84,"Aglais io","Peacock",1998,451,2.1,13,"1976-2020","England"
84,"Aglais io","Peacock",1999,473,2.06,17,"1976-2020","England"
84,"Aglais io","Peacock",2000,521,2.15,9,"1976-2020","England"
84,"Aglais io","Peacock",2001,477,2.18,7,"1976-2020","England"
84,"Aglais io","Peacock",2002,572,2.05,18,"1976-2020","England"
84,"Aglais io","Peacock",2003,628,1.95,29,"1976-2020","England"
84,"Aglais io","Peacock",2004,618,1.9,34,"1976-2020","England"
84,"Aglais io","Peacock",2005,636,1.93,31,"1976-2020","England"
84,"Aglais io","Peacock",2006,695,1.9,34,"1976-2020","England"
84,"Aglais io","Peacock",2007,903,2.05,18,"1976-2020","England"
84,"Aglais io","Peacock",2008,887,1.91,33,"1976-2020","England"
84,"Aglais io","Peacock",2009,1378,2.11,12,"1976-2020","England"
84,"Aglais io","Peacock",2010,1351,1.96,26,"1976-2020","England"
84,"Aglais io","Peacock",2011,1366,1.76,42,"1976-2020","England"
84,"Aglais io","Peacock",2012,1437,1.72,43,"1976-2020","England"
84,"Aglais io","Peacock",2013,1581,2.2,5,"1976-2020","England"
84,"Aglais io","Peacock",2014,1665,2.2,5,"1976-2020","England"
84,"Aglais io","Peacock",2015,1782,2.1,13,"1976-2020","England"
84,"Aglais io","Peacock",2016,1846,1.81,39,"1976-2020","England"
84,"Aglais io","Peacock",2017,1985,1.82,38,"1976-2020","England"
84,"Aglais io","Peacock",2018,2096,1.69,44,"1976-2020","England"
84,"Aglais io","Peacock",2019,2233,2.03,20,"1976-2020","England"
84,"Aglais io","Peacock",2020,1883,2.17,8,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1976,31,2.07,19,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1977,47,1.94,26,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1978,50,2.32,8,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1979,59,2.15,16,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1980,68,2.17,13,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1981,70,1.93,27,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1982,75,2.69,1,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1983,85,2.05,20,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1984,96,2.62,2,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1985,105,2.18,12,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1986,114,1.88,30,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1987,136,2.41,6,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1988,157,2.1,17,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1989,190,2.2,11,"1976-2020","England"
2,"Aglais urticae","Small Tortoiseshell",1990,218,2.17,13,"1976-2020","England"
