Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
1,"Woodwalton Farm","TL210810",521000,281000,2038,"England",12,45,1976,2020,"UKBMS"
2,"Bevill's Wood","TL200790",520000,279000,1532,"England",10,44,1974,2017,"UKBMS"
3,"Holkham","TF870450",587000,345000,3454,"England",6,43,1976,2020,"UKBMS"
4,"Monks Wood","TL200800",520000,280000,2900,"England",14,48,1973,2020,"UKBMS"
5,"Monks Wood Fields","TL200800",520000,280000,,"England",15,3,1974,1976,"UKBMS"
6,"Yarner Wood","SX770780",277000,78000,3133,"England",11,44,1976,2020,"UKBMS"
7,"Brockwell's Farm","ST470890",347000,189000,812,"Wales",7,10,1976,1985,"UKBMS"
8,"Old Winchester Hill","SU64502080",464500,120800,1792,"England",10,45,1976,2020,"UKBMS"
9,"Kingley Vale","SU820100",482000,110000,6289,"England",15,43,1976,2018,"UKBMS"
10,"Oxwich","SS5087",250000,187000,4020,"Wales",13,43,1976,2019,"UKBMS"
11,"Rhinog","SH650270",265000,327000,2269,"Wales",6,5,1976,1980,"UKBMS"
12,"Leigh Marshes","TQ820850",582000,185000,1776,"England",8,41,1976,2019,"UKBMS"
13,"Craig y Cilau","SO180160",318000,216000,3521,"Wales",3,18,1976,1997,"UKBMS"
14,"Gomm Valley","SU890920",489000,192000,1219,"England",9,43,1977,2020,"UKBMS"
15,"Foxholes","SP250200",425000,220000,2909,"England",5,45,1976,2020,"UKBMS"
16,"Swanage","SZ020810",402000,81000,3397,"England",15,43,1976,2020,"UKBMS"
17,"Buttlers Hanging","SU810960",481000,196000,1158,"England",10,22,1976,2020,"UKBMS"
18,"Woodhurst","TL310750",531000,275000,2303,"England",13,10,1976,1985,"UKBMS"
19,"Studland Heath","SZ020790",402000,79000,3665,"England",14,45,1976,2020,"UKBMS"
20,"Ham Street Woods","TR000340",600000,134000,1711,"England",15,9,1976,1985,"UKBMS"
21,"Castor Hanglands","TF11800160",511800,301600,1624,"England",8,47,1974,2020,"UKBMS"
22,"Coedydd Maentwrog","SH600400",260000,340000,2099,"Wales",12,9,1976,1985,"UKBMS"
23,"Ebbor Gorge","ST52804880",352800,148800,2294,"England",8,33,1976,2009,"UKBMS"
24,"Dyfi","SN600930",260000,293000,2414,"Wales",5,44,1976,2019,"UKBMS"
25,"Chippenham Fen","TL650690",565000,269000,3255,"England",8,44,1976,2019,"UKBMS"
26,"Rostherne Mere","SJ740840",374000,384000,5360,"England",15,29,1976,2020,"UKBMS"
27,"Holme Fen","TL210890",521000,289000,4438,"England",8,44,1974,2019,"UKBMS"
28,"Walberswick","TM470740",647000,274000,3577,"England",10,35,1976,2014,"UKBMS"
29,"Aston Rowant (N)","SU730960",473000,196000,3400,"England",10,44,1976,2020,"UKBMS"
30,"Aston Rowant (S)","SU720960",472000,196000,2367,"England",10,45,1976,2020,"UKBMS"
31,"Waterperry Wood","SP6009",460000,209000,1760,"England",10,41,1976,2020,"UKBMS"
32,"Wye & Crundale Down","TR070450",607000,145000,1950,"England",12,40,1976,2020,"UKBMS"
33,"Roudsea Wood (old)","SD330820",333000,482000,,"England",15,2,1977,1978,"UKBMS"
34,"Potton Wood","TL250500",525000,250000,3960,"England",9,43,1974,2017,"UKBMS"
35,"Stow Longa","TL120690",512000,269000,1506,"England",5,2,1976,1977,"UKBMS"
36,"Bure Marshes","TG340160",634000,316000,1671,"England",12,45,1976,2020,"UKBMS"
37,"Upper Teesdale","NY880280",388000,528000,1411,"England",7,42,1976,2020,"UKBMS"
38,"Avon Gorge (old)","ST550730",355000,173000,,"England",11,1,1976,1976,"UKBMS"
39,"Saltfleetby","TF460930",546000,393000,2929,"England",12,42,1977,2020,"UKBMS"
40,"Tregarron Bog","SN680620",268000,262000,3649,"Wales",3,1,1977,1977,"UKBMS"
41,"Vane Farm","NO160990",316000,799000,2253,"Scotland",6,20,1977,2009,"UKBMS"
42,"Ben Lawers","NN6139",261000,739000,3432,"Scotland",6,40,1977,2020,"UKBMS"
43,"Leighton Moss","SD48207500",348200,475000,5922,"England",15,38,1977,2015,"UKBMS"
44,"Radipole Lake","SY670800",367000,80000,1649,"England",6,31,1977,2020,"UKBMS"
45,"Gibralter Point","TF560580",556000,358000,4570,"England",12,44,1974,2020,"UKBMS"
46,"Hatton Green","SP220670",422000,267000,,"England",15,2,1977,1978,"UKBMS"
47,"Skomer","SM72900930",172900,209300,3012,"Wales",9,37,1977,2019,"UKBMS"
48,"Hampstead Heath","TQ270863",527000,186300,1856,"England",11,41,1977,2020,"UKBMS"
49,"Inverpolly","NC000100",200000,910000,3469,"Scotland",13,14,1977,1990,"UKBMS"
50,"Swale","TR03606750",603600,167500,,"England",8,2,1977,1978,"UKBMS"
51,"Loch Garten","NH970180",297000,818000,3645,"Scotland",11,41,1977,2020,"UKBMS"
52,"Avon Gorge 1","ST560730",356000,173000,5761,"England",11,6,1976,1981,"UKBMS"
53,"Avon Gorge 2","ST560730",356000,173000,3786,"England",11,22,1977,1999,"UKBMS"
54,"Nagshead","SO600090",360000,209000,3428,"England",10,37,1977,2020,"UKBMS"
55,"Loch Lomond","NS4387",243000,687000,2034,"Scotland",10,9,1977,1985,"UKBMS"
56,"Harting Down","SU760170",476000,117000,,"England",6,2,1976,1977,"UKBMS"
57,"Tynllan","SJ050160",305000,316000,,"Wales",14,3,1977,1979,"UKBMS"
58,"Kingston Hill Farm","SP403004",440303,200446,3272,"England",15,2,1977,1978,"UKBMS"
59,"Weeting Heath","TL750880",575000,288000,3037,"England",6,31,1977,2016,"UKBMS"
60,"Lindisfarne","NU130430",413000,643000,3000,"England",6,43,1977,2019,"UKBMS"
61,"Insh Marshes","NH810010",281000,801000,3482,"Scotland",13,42,1977,2020,"UKBMS"
62,"Northward Hill","TQ780760",578000,176000,1998,"England",9,38,1977,2020,"UKBMS"
63,"Fairburn Ings","SE460270",446000,427000,4087,"England",5,1,1977,1977,"UKBMS"
64,"Skokholm","SM73800520",173800,205200,1270,"Wales",10,24,1977,2004,"UKBMS"
65,"Woodwalton Fen","TL230840",523000,284000,3940,"England",7,40,1978,2019,"UKBMS"
66,"Tentsmuir Point","NO500270",350000,727000,4187,"Scotland",10,19,1978,1996,"UKBMS"
67,"Carnforth Marsh","SD48017243",348010,472430,2384,"England",9,7,1978,1984,"UKBMS"
68,"Minsmere","TM460670",646000,267000,3287,"England",12,1,1978,1978,"UKBMS"
69,"Holme Dunes","TF710440",571000,344000,2035,"England",8,42,1978,2019,"UKBMS"
70,"Newborough Warren","SH420640",242000,364000,2141,"Wales",15,17,1978,1994,"UKBMS"
71,"Castle Hill","TQ370070",537000,107000,2739,"England",12,42,1978,2019,"UKBMS"
72,"Gait Barrows","SD4777",347000,477000,1400,"England",9,43,1978,2020,"UKBMS"
73,"Wart Barrow","SD380770",338000,477000,1372,"England",4,18,1978,1996,"UKBMS"
74,"Howe Park Wood","SP840340",484000,234000,,"England",14,3,1978,1980,"UKBMS"
75,"Tuddenham Heath","TL740720",574000,272000,,"England",5,1,1978,1978,"UKBMS"
76,"Wicken Fen","TL560700",556000,270000,3647,"England",15,28,1979,2006,"UKBMS"
77,"Morton Lochs","NO460260",346000,726000,2958,"Scotland",10,18,1979,1996,"UKBMS"
78,"Morrone Birkwood","NO130900",313000,790000,3776,"Scotland",8,21,1979,2000,"UKBMS"
79,"St Cyrus","NO7463",374000,763000,3423,"Scotland",15,14,1979,1994,"UKBMS"
80,"Warren Farm","TR030490",603000,149000,,"England",12,2,1979,1980,"UKBMS"
81,"South Stack Cliffs","SH210810",221000,381000,3256,"Wales",13,5,1979,1983,"UKBMS"
82,"South Stack Ranges","SH220800",222000,380000,2290,"Wales",13,22,1979,2019,"UKBMS"
83,"Pewsey Down","SU110630",411000,163000,2017,"England",6,40,1979,2020,"UKBMS"
84,"Ampfield Wood","SU410238",441000,123800,1532,"England",11,42,1979,2020,"UKBMS"
85,"Derbyshire Dales","SK1865",418000,365000,4770,"England",11,42,1979,2020,"UKBMS"
86,"Alresford","SU580330",458000,133000,3868,"England",12,42,1979,2020,"UKBMS"
87,"Sands of Forvie","NK020270",402000,827000,5674,"Scotland",10,21,1979,1999,"UKBMS"
89,"West Dean Wood","SU850160",485000,116000,2282,"England",15,39,1979,2018,"UKBMS"
90,"Roe Valley Country Park","NS030790",203000,679000,,"Scotland",9,1,1979,1979,"UKBMS"
91,"Woods Mill","TQ210130",521000,113000,1422,"England",14,38,1979,2017,"UKBMS"
92,"Murlough","J4135",150060,489996,4794,"Northern Ireland",15,42,1979,2020,"UKBMS"
93,"Martin Down","SU050180",405000,118000,2696,"England",12,42,1979,2020,"UKBMS"
94,"Cwm Risca Farm","SS870840",287000,184000,2748,"Wales",15,1,1979,1979,"UKBMS"
95,"Wyre Forest","SO75507660",375500,276600,2600,"England",15,42,1979,2020,"UKBMS"
96,"Coombes Valley","SK000530",400000,353000,2168,"England",15,25,1979,2019,"UKBMS"
97,"Lullington Heath","TQ540020",554000,102000,3886,"England",15,41,1979,2019,"UKBMS"
98,"Erisey Barton","SW710170",171000,17000,,"England",13,3,1980,1982,"UKBMS"
99,"Moor Farm","TF220630",522000,363000,2097,"England",11,29,1974,2007,"UKBMS"
100,"Ynys Hir","SN670950",267000,295000,5267,"Wales",15,27,1981,2007,"UKBMS"
101,"Newton Links","NU230260",423000,626000,2441,"England",9,38,1981,2019,"UKBMS"
102,"Pickett Wood","ST870540",387000,154000,1194,"England",5,40,1981,2020,"UKBMS"
