Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
Woodwalton Farm,TL210810,521000,281000,2038.0,England,12.0,45,1976,2020,UKBMS,52.413625,-0.22241332
Bevill's Wood,TL200790,520000,279000,1532.0,England,10.0,44,1974,2017,UKBMS,52.395874,-0.23782465
Holkham,TF870450,587000,345000,3454.0,England,6.0,43,1976,2020,UKBMS,52.969736,0.78327779
Monks Wood,TL200800,520000,280000,2900.0,England,14.0,48,1973,2020,UKBMS,52.40486,-0.23746658
Monks Wood Fields,TL200800,520000,280000,,England,15.0,3,1974,1976,UKBMS,52.40486,-0.23746658
Yarner Wood,SX770780,277000,78000,3133.0,England,11.0,44,1976,2020,UKBMS,50.588737,-3.738941
Brockwell's Farm,ST470890,347000,189000,812.0,Wales,7.0,10,1976,1985,UKBMS,51.597338,-2.766558
Old Winchester Hill,SU64502080,464500,120800,1792.0,England,10.0,45,1976,2020,UKBMS,50.983002,-1.0825266
Kingley Vale,SU820100,482000,110000,6289.0,England,15.0,43,1976,2018,UKBMS,50.883682,-0.83570286
Oxwich,SS5087,250000,187000,4020.0,Wales,13.0,43,1976,2019,UKBMS,51.561875,-4.1653655
Rhinog,SH650270,265000,327000,2269.0,Wales,6.0,5,1976,1980,UKBMS,52.823574,-4.0049473
Leigh Marshes,TQ820850,582000,185000,1776.0,England,8.0,41,1976,2019,UKBMS,51.534564,0.62271834
Craig y Cilau,SO180160,318000,216000,3521.0,Wales,3.0,18,1976,1997,UKBMS,51.836565,-3.1915156
Gomm Valley,SU890920,489000,192000,1219.0,England,9.0,43,1977,2020,UKBMS,51.619796,-0.71585113
Foxholes,SP250200,425000,220000,2909.0,England,5.0,45,1976,2020,UKBMS,51.878011,-1.6382392
Swanage,SZ020810,402000,81000,3397.0,England,15.0,43,1976,2020,UKBMS,50.628697,-1.9730848
Buttlers Hanging,SU810960,481000,196000,1158.0,England,10.0,22,1976,2020,UKBMS,51.656961,-0.83045411
Woodhurst,TL310750,531000,275000,2303.0,England,13.0,10,1976,1985,UKBMS,52.357414,-0.077817358
Studland Heath,SZ020790,402000,79000,3665.0,England,14.0,45,1976,2020,UKBMS,50.610711,-1.9730949
Ham Street Woods,TR000340,600000,134000,1711.0,England,15.0,9,1976,1985,UKBMS,51.070474,0.85335056
Castor Hanglands,TF11800160,511800,301600,1624.0,England,8.0,47,1974,2020,UKBMS,52.600697,-0.35069883
Coedydd Maentwrog,SH600400,260000,340000,2099.0,Wales,12.0,9,1976,1985,UKBMS,52.939082,-4.0846953
Ebbor Gorge,ST52804880,352800,148800,2294.0,England,8.0,33,1976,2009,UKBMS,51.236418,-2.6774638
Dyfi,SN600930,260000,293000,2414.0,Wales,5.0,44,1976,2019,UKBMS,52.516849,-4.0646435
